mat_row_no,mat_col_no,conv_row_no,conv_col_no,p,runner,elapsed
10,10,3,3,0,cpp,1.958e-06
10,10,3,3,0,cpp,1.858e-06
10,10,3,3,0,cpp,1.909e-06
10,10,3,3,0,cpp,2.029e-06
10,10,3,3,0,cpp,2.062e-06
10,10,3,3,0,cpp,2.09e-06
10,10,3,3,0,cpp,1.936e-06
10,10,3,3,0,cpp,2.029e-06
10,10,3,3,0,cpp,1.983e-06
10,10,3,3,0,cpp,2.054e-06
10,10,3,3,0,java,0.0
10,10,3,3,0,java,0.0
10,10,3,3,0,java,0.0
10,10,3,3,0,java,0.0
10,10,3,3,0,java,0.0
10,10,3,3,0,java,0.0
10,10,3,3,0,java,0.0
10,10,3,3,0,java,0.001
10,10,3,3,0,java,0.0
10,10,3,3,0,java,0.0
10,10,3,3,2,cpp,0.000591376
10,10,3,3,2,cpp,0.000456764
10,10,3,3,2,cpp,0.000377027
10,10,3,3,2,cpp,0.000773002
10,10,3,3,2,cpp,0.000313876
10,10,3,3,2,cpp,0.000455039
10,10,3,3,2,cpp,0.000560174
10,10,3,3,2,cpp,0.000439025
10,10,3,3,2,cpp,0.00055642
10,10,3,3,2,cpp,0.000662714
10,10,3,3,2,java,0.001
10,10,3,3,2,java,0.001
10,10,3,3,2,java,0.001
10,10,3,3,2,java,0.001
10,10,3,3,2,java,0.001
10,10,3,3,2,java,0.001
10,10,3,3,2,java,0.001
10,10,3,3,2,java,0.001
10,10,3,3,2,java,0.002
10,10,3,3,2,java,0.001
1000,1000,3,3,0,cpp,0.0364546
1000,1000,3,3,0,cpp,0.0290335
1000,1000,3,3,0,cpp,0.0191399
1000,1000,3,3,0,cpp,0.021674
1000,1000,3,3,0,cpp,0.0191567
1000,1000,3,3,0,cpp,0.0181932
1000,1000,3,3,0,cpp,0.0182256
1000,1000,3,3,0,cpp,0.0177627
1000,1000,3,3,0,cpp,0.0175289
1000,1000,3,3,0,cpp,0.0175303
1000,1000,3,3,0,java,0.105
1000,1000,3,3,0,java,0.132
1000,1000,3,3,0,java,0.101
1000,1000,3,3,0,java,0.177
1000,1000,3,3,0,java,0.159
1000,1000,3,3,0,java,0.145
1000,1000,3,3,0,java,0.155
1000,1000,3,3,0,java,0.139
1000,1000,3,3,0,java,0.112
1000,1000,3,3,0,java,0.122
1000,1000,3,3,2,cpp,0.0514417
1000,1000,3,3,2,cpp,0.0358366
1000,1000,3,3,2,cpp,0.0275987
1000,1000,3,3,2,cpp,0.0295342
1000,1000,3,3,2,cpp,0.0286123
1000,1000,3,3,2,cpp,0.0301697
1000,1000,3,3,2,cpp,0.0279698
1000,1000,3,3,2,cpp,0.018262
1000,1000,3,3,2,cpp,0.0184793
1000,1000,3,3,2,cpp,0.0205499
1000,1000,3,3,2,java,0.239
1000,1000,3,3,2,java,0.182
1000,1000,3,3,2,java,0.121
1000,1000,3,3,2,java,0.109
1000,1000,3,3,2,java,0.121
1000,1000,3,3,2,java,0.166
1000,1000,3,3,2,java,0.182
1000,1000,3,3,2,java,0.177
1000,1000,3,3,2,java,0.14
1000,1000,3,3,2,java,0.227
1000,1000,3,3,4,cpp,0.0703503
1000,1000,3,3,4,cpp,0.0283533
1000,1000,3,3,4,cpp,0.0191733
1000,1000,3,3,4,cpp,0.0186467
1000,1000,3,3,4,cpp,0.0245868
1000,1000,3,3,4,cpp,0.0166257
1000,1000,3,3,4,cpp,0.0175192
1000,1000,3,3,4,cpp,0.0190573
1000,1000,3,3,4,cpp,0.0184471
1000,1000,3,3,4,cpp,0.0188167
1000,1000,3,3,4,java,0.137
1000,1000,3,3,4,java,0.281
1000,1000,3,3,4,java,0.279
1000,1000,3,3,4,java,0.293
1000,1000,3,3,4,java,0.253
1000,1000,3,3,4,java,0.25
1000,1000,3,3,4,java,0.274
1000,1000,3,3,4,java,0.128
1000,1000,3,3,4,java,0.292
1000,1000,3,3,4,java,0.176
1000,1000,3,3,8,cpp,0.0313255
1000,1000,3,3,8,cpp,0.0343033
1000,1000,3,3,8,cpp,0.0295589
1000,1000,3,3,8,cpp,0.0297536
1000,1000,3,3,8,cpp,0.0405111
1000,1000,3,3,8,cpp,0.0252358
1000,1000,3,3,8,cpp,0.0304574
1000,1000,3,3,8,cpp,0.027237
1000,1000,3,3,8,cpp,0.0285148
1000,1000,3,3,8,cpp,0.0287364
1000,1000,3,3,8,java,0.123
1000,1000,3,3,8,java,0.174
1000,1000,3,3,8,java,0.264
1000,1000,3,3,8,java,0.212
1000,1000,3,3,8,java,0.168
1000,1000,3,3,8,java,0.166
1000,1000,3,3,8,java,0.152
1000,1000,3,3,8,java,0.167
1000,1000,3,3,8,java,0.166
1000,1000,3,3,8,java,0.141
1000,1000,3,3,16,cpp,0.0475879
1000,1000,3,3,16,cpp,0.0288246
1000,1000,3,3,16,cpp,0.0540556
1000,1000,3,3,16,cpp,0.0548777
1000,1000,3,3,16,cpp,0.0331146
1000,1000,3,3,16,cpp,0.0423535
1000,1000,3,3,16,cpp,0.0301167
1000,1000,3,3,16,cpp,0.0240446
1000,1000,3,3,16,cpp,0.0251052
1000,1000,3,3,16,cpp,0.0263233
1000,1000,3,3,16,java,0.183
1000,1000,3,3,16,java,0.157
1000,1000,3,3,16,java,0.188
1000,1000,3,3,16,java,0.2
1000,1000,3,3,16,java,0.139
1000,1000,3,3,16,java,0.179
1000,1000,3,3,16,java,0.241
1000,1000,3,3,16,java,0.227
1000,1000,3,3,16,java,0.186
1000,1000,3,3,16,java,0.263
10000,10000,3,3,0,cpp,1.66058
10000,10000,3,3,0,cpp,1.58049
10000,10000,3,3,0,cpp,1.58264
10000,10000,3,3,0,cpp,1.58311
10000,10000,3,3,0,cpp,1.56132
10000,10000,3,3,0,cpp,1.56939
10000,10000,3,3,0,cpp,1.54411
10000,10000,3,3,0,cpp,1.61448
10000,10000,3,3,0,cpp,1.61745
10000,10000,3,3,0,cpp,1.6128
10000,10000,3,3,0,java,2.32
10000,10000,3,3,0,java,3.044
10000,10000,3,3,0,java,3.656
10000,10000,3,3,0,java,2.66
10000,10000,3,3,0,java,2.579
10000,10000,3,3,0,java,3.314
10000,10000,3,3,0,java,2.675
10000,10000,3,3,0,java,3.098
10000,10000,3,3,0,java,3.086
10000,10000,3,3,0,java,3.328
10000,10000,3,3,2,cpp,1.83026
10000,10000,3,3,2,cpp,1.87189
10000,10000,3,3,2,cpp,1.98071
10000,10000,3,3,2,cpp,1.97089
10000,10000,3,3,2,cpp,2.00234
10000,10000,3,3,2,cpp,1.8845
10000,10000,3,3,2,cpp,1.96547
10000,10000,3,3,2,cpp,1.98422
10000,10000,3,3,2,cpp,2.01077
10000,10000,3,3,2,cpp,2.00812
10000,10000,3,3,2,java,4.573
10000,10000,3,3,2,java,4.552
10000,10000,3,3,2,java,3.701
10000,10000,3,3,2,java,3.145
10000,10000,3,3,2,java,3.692
10000,10000,3,3,2,java,4.486
10000,10000,3,3,2,java,4.637
10000,10000,3,3,2,java,3.732
10000,10000,3,3,2,java,4.801
10000,10000,3,3,2,java,4.536
10000,10000,3,3,4,cpp,1.95599
10000,10000,3,3,4,cpp,2.03794
10000,10000,3,3,4,cpp,1.97063
10000,10000,3,3,4,cpp,1.96454
10000,10000,3,3,4,cpp,2.01867
10000,10000,3,3,4,cpp,1.66062
10000,10000,3,3,4,cpp,2.00692
10000,10000,3,3,4,cpp,1.66404
10000,10000,3,3,4,cpp,1.97512
10000,10000,3,3,4,cpp,1.94658
10000,10000,3,3,4,java,4.596
10000,10000,3,3,4,java,5.386
10000,10000,3,3,4,java,3.228
10000,10000,3,3,4,java,4.884
10000,10000,3,3,4,java,3.835
10000,10000,3,3,4,java,4.114
10000,10000,3,3,4,java,3.294
10000,10000,3,3,4,java,4.792
10000,10000,3,3,4,java,4.841
10000,10000,3,3,4,java,3.69
10000,10000,3,3,8,cpp,2.0157
10000,10000,3,3,8,cpp,2.01899
10000,10000,3,3,8,cpp,2.02005
10000,10000,3,3,8,cpp,2.01457
10000,10000,3,3,8,cpp,2.03321
10000,10000,3,3,8,cpp,2.0189
10000,10000,3,3,8,cpp,2.02143
10000,10000,3,3,8,cpp,2.0179
10000,10000,3,3,8,cpp,2.0117
10000,10000,3,3,8,cpp,2.00574
10000,10000,3,3,8,java,4.569
10000,10000,3,3,8,java,4.516
10000,10000,3,3,8,java,5.146
10000,10000,3,3,8,java,4.656
10000,10000,3,3,8,java,4.53
10000,10000,3,3,8,java,3.318
10000,10000,3,3,8,java,4.587
10000,10000,3,3,8,java,4.083
10000,10000,3,3,8,java,4.687
10000,10000,3,3,8,java,4.212
10000,10000,3,3,16,cpp,2.13544
10000,10000,3,3,16,cpp,2.02296
10000,10000,3,3,16,cpp,2.06863
10000,10000,3,3,16,cpp,2.03788
10000,10000,3,3,16,cpp,2.02663
10000,10000,3,3,16,cpp,2.05053
10000,10000,3,3,16,cpp,2.01883
10000,10000,3,3,16,cpp,1.83734
10000,10000,3,3,16,cpp,2.0337
10000,10000,3,3,16,cpp,2.05253
10000,10000,3,3,16,java,4.943
10000,10000,3,3,16,java,4.961
10000,10000,3,3,16,java,3.871
10000,10000,3,3,16,java,4.671
10000,10000,3,3,16,java,3.865
10000,10000,3,3,16,java,3.949
10000,10000,3,3,16,java,5.24
10000,10000,3,3,16,java,3.426
10000,10000,3,3,16,java,4.188
10000,10000,3,3,16,java,4.636
